body;tail;model_type;popSize;paralell;computing_time
Exp;Pareto-Tail;continuous;5000;False;22.56894063949585
Exp;Pareto-Tail;simple;5000;False;26.635361433029175
Exp;Pareto-Tail;disjoint;5000;False;34.455079793930054
Exp;GPD-Tail;continuous;5000;False;24.896075010299683
Exp;GPD-Tail;simple;5000;False;32.57995557785034
Exp;GPD-Tail;disjoint;5000;False;41.83474683761597
Weibull;Pareto-Tail;continuous;5000;False;52.589778423309326
Weibull;Pareto-Tail;simple;5000;False;56.9070987701416
Weibull;Pareto-Tail;disjoint;5000;False;69.91548943519592
Weibull;GPD-Tail;continuous;5000;False;76.41568899154663
Weibull;GPD-Tail;simple;5000;False;60.060235261917114
Weibull;GPD-Tail;disjoint;5000;False;67.16487073898315
Burr;Pareto-Tail;continuous;5000;False;94.20731687545776
Burr;Pareto-Tail;simple;5000;False;94.40812420845032
Burr;Pareto-Tail;disjoint;5000;False;115.21771621704102
Burr;GPD-Tail;continuous;5000;False;103.45231938362122
Burr;GPD-Tail;simple;5000;False;89.89077711105347
Burr;GPD-Tail;disjoint;5000;False;117.0126838684082
Exp;Pareto-Tail;continuous;10000;False;35.846059799194336
Exp;Pareto-Tail;simple;10000;False;45.322192668914795
Exp;Pareto-Tail;disjoint;10000;False;55.03333806991577
Exp;GPD-Tail;continuous;10000;False;45.247950077056885
Exp;GPD-Tail;simple;10000;False;58.75296497344971
Exp;GPD-Tail;disjoint;10000;False;73.98593235015869
Weibull;Pareto-Tail;continuous;10000;False;100.2679877281189
Weibull;Pareto-Tail;simple;10000;False;105.16208672523499
Weibull;Pareto-Tail;disjoint;10000;False;136.48772764205933
Weibull;GPD-Tail;continuous;10000;False;150.38016438484192
Weibull;GPD-Tail;simple;10000;False;1030.5797781944275
Weibull;GPD-Tail;disjoint;10000;False;137.74282717704773
Burr;Pareto-Tail;continuous;10000;False;197.67611050605774
Burr;Pareto-Tail;simple;10000;False;181.3809745311737
Burr;Pareto-Tail;disjoint;10000;False;234.75983476638794
Burr;GPD-Tail;continuous;10000;False;187.31085991859436
Burr;GPD-Tail;simple;10000;False;226.7140874862671
Burr;GPD-Tail;disjoint;10000;False;179.14010500907898
Exp;Pareto-Tail;continuous;20000;False;72.45647311210632
Exp;Pareto-Tail;simple;20000;False;90.2220950126648
Exp;Pareto-Tail;disjoint;20000;False;114.16562271118164
Exp;GPD-Tail;continuous;20000;False;88.95413708686829
Exp;GPD-Tail;simple;20000;False;117.13100862503052
Exp;GPD-Tail;disjoint;20000;False;149.95716834068298
Weibull;Pareto-Tail;continuous;20000;False;205.4439127445221
