body,tail,model_type,popSize,paralell,computing_time
Exp,Pareto-Tail,continuous,5000,False,27.13957905769348
Exp,Pareto-Tail,simple,5000,False,32.5639283657074
Exp,Pareto-Tail,disjoint,5000,False,40.79826474189758
Exp,GPD-Tail,continuous,5000,False,32.5113468170166
Exp,GPD-Tail,simple,5000,False,46.51931095123291
Exp,GPD-Tail,disjoint,5000,False,65.31824159622192
Weibull,Pareto-Tail,continuous,5000,False,92.74119281768799
Weibull,Pareto-Tail,simple,5000,False,97.00460052490234
Weibull,Pareto-Tail,disjoint,5000,False,112.48881983757019
Weibull,GPD-Tail,continuous,5000,False,139.36697840690613
Weibull,GPD-Tail,simple,5000,False,107.54718351364136
Weibull,GPD-Tail,disjoint,5000,False,125.25759315490723
Burr,Pareto-Tail,continuous,5000,False,181.26635789871216
Burr,Pareto-Tail,simple,5000,False,181.18752765655518
Burr,Pareto-Tail,disjoint,5000,False,250.7484850883484
Burr,GPD-Tail,continuous,5000,False,248.09263634681702
Burr,GPD-Tail,simple,5000,False,243.4071123600006
Burr,GPD-Tail,disjoint,5000,False,189.32988286018372
Exp,Pareto-Tail,continuous,10000,False,48.083409786224365
Exp,Pareto-Tail,simple,10000,False,66.17524218559265
Exp,Pareto-Tail,disjoint,10000,False,80.79464936256409
Exp,GPD-Tail,continuous,10000,False,63.74324345588684
Exp,GPD-Tail,simple,10000,False,86.68039584159851
Exp,GPD-Tail,disjoint,10000,False,115.70992136001587
Weibull,Pareto-Tail,continuous,10000,False,174.96131658554077
Weibull,Pareto-Tail,simple,10000,False,196.4434666633606
Weibull,Pareto-Tail,disjoint,10000,False,270.01174998283386
Weibull,GPD-Tail,continuous,10000,False,280.4927852153778
Weibull,GPD-Tail,simple,10000,False,213.66691613197327
Weibull,GPD-Tail,disjoint,10000,False,243.91560888290405
Burr,Pareto-Tail,continuous,10000,False,435.17626547813416
Burr,Pareto-Tail,simple,10000,False,373.18426036834717
Burr,Pareto-Tail,disjoint,10000,False,426.7603316307068
Burr,GPD-Tail,continuous,10000,False,494.62773418426514
Burr,GPD-Tail,simple,10000,False,363.5554835796356
Burr,GPD-Tail,disjoint,10000,False,374.03173899650574
Exp,Pareto-Tail,continuous,20000,False,94.57052874565125
Exp,Pareto-Tail,simple,20000,False,128.88404750823975
Exp,Pareto-Tail,disjoint,20000,False,163.8130702972412
Exp,GPD-Tail,continuous,20000,False,125.33576464653015
Exp,GPD-Tail,simple,20000,False,185.44566082954407
Exp,GPD-Tail,disjoint,20000,False,228.0743453502655
Weibull,Pareto-Tail,continuous,20000,False,372.7877948284149
Weibull,Pareto-Tail,simple,20000,False,353.88688707351685
Weibull,Pareto-Tail,disjoint,20000,False,544.6297519207001
Weibull,GPD-Tail,continuous,20000,False,457.33308458328247
Weibull,GPD-Tail,simple,20000,False,410.93037152290344
Weibull,GPD-Tail,disjoint,20000,False,482.7056677341461
Burr,Pareto-Tail,continuous,20000,False,841.7260985374451
Burr,Pareto-Tail,simple,20000,False,816.6455702781677
Burr,Pareto-Tail,disjoint,20000,False,1085.3491621017456
Burr,GPD-Tail,continuous,20000,False,838.6587908267975
Burr,GPD-Tail,simple,20000,False,822.6487350463867
Burr,GPD-Tail,disjoint,20000,False,789.898341178894
Exp,Pareto-Tail,continuous,5000,True,27.568750619888306
Exp,Pareto-Tail,simple,5000,True,30.435871601104736
