,model,d,γ_map,log_marg,DIC,WAIC,posterior_probability,Wass_dist
0,Log-Logistic_Pareto-Tail_disjoint,5,2.781844802000001,-3979.644223931235,7921.887283492626,7929.573315580744,1.5018957658297187e-53,437.51284890994424
1,Log-Logistic_Pareto-Tail_simple,4,2.781844802000001,-4141.386820109308,8241.226083528925,8261.539141540861,8.56490961184098e-124,1094.3685103416233
2,Log-Logistic_Pareto-Tail_continuous,4,2.781844802000001,-4012.7333527338046,7989.500472234919,8001.728362476245,6.400497657694678e-68,1462.2489131431334
3,Log-Logistic_GPD-Tail_disjoint,6,2.781844802000001,-3982.2272473945213,7918.953520703131,7931.567475874195,1.1346109124238661e-54,445.2798757469696
4,Log-Logistic_GPD-Tail_simple,5,2.781844802000001,-4143.761918463054,8238.260378306573,8263.53254133306,7.965823419708433e-125,1122.9415316403595
5,Log-Logistic_GPD-Tail_continuous,5,2.781844802000001,-4002.703252133381,7960.016451905092,7977.785409778999,1.452884487056536e-63,593.4590412618167
6,Lomax_Pareto-Tail_disjoint,5,2.781844802000001,-4753.527263473216,9442.9394052145,9464.303266210733,0.0,902.6335493234857
7,Lomax_Pareto-Tail_simple,4,2.781844802000001,-5008.129153400344,9940.64133715011,9948.042424993502,0.0,1996.793423171839
8,Lomax_Pareto-Tail_continuous,4,2.781844802000001,-4821.247978134083,9610.47013056928,9618.8667070339,0.0,1841.5908299799446
9,Lomax_GPD-Tail_disjoint,6,2.781844802000001,-4756.198234707169,9440.444101618847,9466.521904003277,0.0,909.659949131185
10,Lomax_GPD-Tail_simple,5,2.781844802000001,-5008.776064583757,9942.544557981753,9954.389799459741,0.0,1912.7243841526977
11,Lomax_GPD-Tail_continuous,5,2.781844802000001,-4786.479713988125,9525.67536927163,9537.720817288744,0.0,2650.1238153691725
12,Burr_Pareto-Tail_disjoint,6,2.781844802000001,-3861.3923795022083,7648.318497406193,7674.3231303461025,0.03410070072984597,376.28107041869157
13,Burr_Pareto-Tail_simple,5,2.781844802000001,-3861.789088177394,7660.313896772594,7677.904019148409,0.02293374159349786,386.06166368739144
14,Burr_Pareto-Tail_continuous,5,2.781844802000001,-3858.194781399648,7652.095398851188,7672.197499131112,0.8345695107356566,378.65034354457237
15,Burr_GPD-Tail_disjoint,7,2.781844802000001,-3863.7100423404513,7644.824889919197,7676.358014126248,0.0033590395842596796,385.13713836359346
16,Burr_GPD-Tail_simple,6,2.781844802000001,-3864.172218466975,7657.222626845969,7679.580265884811,0.0021158972803797904,396.34676056155223
17,Burr_GPD-Tail_continuous,6,2.781844802000001,-3860.287734662376,7649.1985870809895,7674.344791276897,0.10292111007636011,378.20625665945454
18,Exp_Pareto-Tail_disjoint,4,2.781844802000001,-4728.867375732282,9419.701161640798,9438.324249342937,0.0,899.1143994052103
19,Exp_Pareto-Tail_simple,3,2.781844802000001,-4938.790310015907,9860.295964590365,9865.974211513783,0.0,1833.0645057290653
20,Exp_Pareto-Tail_continuous,3,2.781844802000001,-4810.208437339957,9602.455157123402,9610.617608333028,0.0,1851.4053117540627
21,Exp_GPD-Tail_disjoint,5,2.781844802000001,-4731.262591346287,9416.79051651503,9440.398428081184,0.0,906.8508693928845
22,Exp_GPD-Tail_simple,4,2.781844802000001,-4941.023706977251,9857.368772046066,9867.957240462098,0.0,1736.67271446909
23,Exp_GPD-Tail_continuous,4,2.781844802000001,-4768.268167525037,9512.041570521764,9521.226997348282,0.0,3098.0174808743764
24,Gamma_Pareto-Tail_disjoint,5,2.781844802000001,-3985.8660331792034,7927.527745764966,7931.695125426273,2.9822384761611034e-56,443.4859860379415
25,Gamma_Pareto-Tail_simple,4,2.781844802000001,-4206.887456698714,8369.21377347316,8391.836730815581,3.0630758564312017e-152,1113.1495257209228
26,Gamma_Pareto-Tail_continuous,4,2.781844802000001,-4026.6324060879224,8012.484818382591,8024.037972723512,5.887508777452528e-74,1486.2059566947157
27,Gamma_GPD-Tail_disjoint,6,2.781844802000001,-3989.5786113658837,7924.338651879174,7934.321078477481,7.280985211759539e-58,450.3180577476979
28,Gamma_GPD-Tail_simple,5,2.781844802000001,-4209.210920486981,8366.200077424444,8393.867903715935,2.999785834664465e-153,1138.762379767657
29,Gamma_GPD-Tail_continuous,5,2.781844802000001,-4014.6498532897394,7982.305416107434,7998.463859969404,9.416469996855636e-69,620.9889619494484
30,Weibull_Pareto-Tail_disjoint,5,2.781844802000001,-4100.205985053719,8171.544472044211,8171.984507827312,6.566473695794418e-106,497.07946830456365
31,Weibull_Pareto-Tail_simple,4,2.781844802000001,-4341.086916289245,8637.629748167872,8661.492386308293,1.5998268362923756e-210,1071.3920231035033
32,Weibull_Pareto-Tail_continuous,4,2.781844802000001,-4153.139726182319,8271.173120490446,8283.474903408185,6.737527180781077e-129,1464.3265934896267
33,Weibull_GPD-Tail_disjoint,6,2.781844802000001,-4102.592126770147,8168.396781725091,8174.197851230007,6.040098602814828e-107,504.4303130140239
34,Weibull_GPD-Tail_simple,5,2.781844802000001,-4343.325395140216,8634.725187390632,8663.394450001553,1.7057444416203294e-211,1084.147588256031
35,Weibull_GPD-Tail_continuous,5,2.781844802000001,-4142.836901525919,8241.700312701345,8258.97248885348,2.0089097498661197e-124,678.4803820266967
36,Inverse-Gaussian_Pareto-Tail_disjoint,5,2.781844802000001,-3942.655839617825,7836.944701028147,7845.314523861563,1.7397666230053197e-37,412.45649370683566
37,Inverse-Gaussian_Pareto-Tail_simple,4,2.781844802000001,-4074.5523165540244,8103.341460177442,8123.800639929904,9.090313872096354e-95,882.3017126669367
38,Inverse-Gaussian_Pareto-Tail_continuous,4,2.781844802000001,-3965.02685360569,7885.753199394969,7898.377536157471,3.3487526110890534e-47,1090.8343010624865
39,Inverse-Gaussian_GPD-Tail_disjoint,6,2.781844802000001,-3945.0113889207705,7833.843489640122,7847.472735660748,1.650018944843787e-38,420.2227439232946
