,model,d,γ_map,log_marg,DIC,WAIC,posterior_probability,Wass_dist
0,Burr_Exp_continuous,5,202.9266965833641,-3862.0840576101673,7668.5792982552075,7681.054593826308,4.3709640343231364e-20,570.3094348329532
1,Burr_Exp_simple,5,220.30295174084603,-3861.775161489294,7670.33263313116,7680.20802226342,5.952907219051977e-20,608.0527203194097
2,Burr_Exp_disjoint,6,162.7505026016477,-3868.3210616186843,7683.651845193802,7683.018625206291,8.54832073216065e-23,892.1410608341145
3,Burr_Gamma_continuous,6,250.50674764604472,-3868.5850139743316,7665.253868834036,7682.5234907718295,6.565196917904825e-23,571.0704160750942
4,Burr_Gamma_simple,6,252.07559591595017,-3865.831926197091,7661.827542984087,7678.808060638411,1.0301455404514065e-21,585.4945440483247
5,Burr_Gamma_disjoint,7,251.53307007397535,-3872.723005050424,7661.474919741114,7681.614102418646,1.0474687289291923e-24,785.7861265853425
6,Burr_Weibull_continuous,6,171.49676521965543,-3859.9467164402467,7662.203743767005,7680.617599877423,3.705208989296589e-19,565.075033838517
7,Burr_Weibull_simple,6,181.24588442007646,-3860.926232055658,7665.187020506331,7681.049339213359,1.3912798085541306e-19,591.1817263395218
8,Burr_Weibull_disjoint,7,59.41905965636489,-3866.697932361319,7830.349393665282,7685.326534747258,4.333081806411533e-22,4322.155291767091
9,Burr_Inverse-Gaussian_continuous,6,184.20351944497796,-3859.0593516811023,7664.662000612323,7680.631536173283,8.9989186819602e-19,612.6396966898974
10,Burr_Inverse-Gaussian_simple,6,205.66741671589818,-3861.1409400093976,7669.128293184569,7680.433036508282,1.1224525806968362e-19,615.4398877962866
11,Burr_Inverse-Gaussian_disjoint,7,123.7877294193155,-3866.952824279613,7675.839979652574,7682.818902314505,3.358139512636847e-22,1166.0529732156688
12,Burr_Lognormal_continuous,6,155.88900624016267,-3859.4507197732682,7662.162084874665,7679.754202595357,6.084449971673019e-19,584.2227116253755
13,Burr_Lognormal_simple,6,0.8237739769710465,-3843.2456122859708,7643.360962529211,7642.315793544573,6.6375848362504504e-12,1149.9498051034607
14,Burr_Lognormal_disjoint,7,0.839259590671988,-3855.7723270375154,7914.515791608487,7642.1968976774915,2.408390979739529e-17,1237.269758452796
15,Burr_Log-Logistic_continuous,6,4.543771857956349,-3856.7795088575704,41327.5979894629,7663.252833608716,8.79657247563046e-18,4186.349205942692
16,Burr_Log-Logistic_simple,6,0.8243140797034437,-3828.1527659932653,7577.617012153146,7591.161183488908,2.3809481949673714e-05,785.9102193307871
17,Burr_Log-Logistic_disjoint,7,0.8244522842994529,-3822.075909548077,7572.851422836571,7591.461959154982,0.010372780015274807,761.8783214359999
18,Burr_Lomax_continuous,6,1.3037373592573887,-3854.526953039333,17725.886885674863,7663.95154392075,8.367313618917311e-17,2104.241017735333
19,Burr_Lomax_simple,6,0.8244807192113589,-3831.7595300181024,7614.316483876631,7612.4654517193485,6.46178096348384e-07,820.172990511091
20,Burr_Lomax_disjoint,7,0.8247325163320632,-3838.3855767001724,7594.351413907562,7611.753642018978,8.564395639606546e-10,788.8573727347506
21,Burr_Burr_continuous,7,1.003940941489754,-3852.413840269782,8211.433029967558,7647.82921587636,6.923078606342854e-16,1293.8611477532068
22,Burr_Burr_simple,7,0.824150224604611,-3818.0740463746774,7554.61917505762,7566.704017173086,0.5673907626979641,608.8535203626944
23,Burr_Burr_disjoint,8,0.8240639908058532,-3828.047015706315,7536.030099233697,7556.142417736956,2.6465293345610344e-05,375.81627129995786
24,Burr_Pareto-Tail_continuous,5,113.64178239605937,-3860.00689712211,7667.351210977772,7680.797806778733,3.488803995080075e-19,665.6379033498304
25,Burr_Pareto-Tail_simple,5,142.85287459028658,-3861.0753189997376,7665.106151807326,7680.970147171147,1.1985794993111737e-19,563.0842533076202
26,Burr_Pareto-Tail_disjoint,6,1.7335908246105478,-3858.863938624288,10767.489052474037,7661.215890553726,1.0941003063357551e-18,2990.165185781038
27,Burr_GPD-Tail_continuous,6,89.44006959306444,-3862.225157837512,8097.737910104578,7681.502706494379,3.795755088104574e-20,3425.4848587313472
28,Burr_GPD-Tail_simple,6,0.8228958712768317,-3843.2377329824326,7609.147380259104,7621.399646116127,6.690090966156815e-12,805.641148478279
29,Burr_GPD-Tail_disjoint,7,0.8246547614463743,-3835.103742845552,7594.097114417643,7612.314713928564,2.2802321005793594e-08,794.8571353184709
30,Burr_Inverse-Gamma_continuous,6,0.9905878065989736,-3852.0634676777345,8073.1791365269855,7653.077643957785,9.827977330721168e-16,745.4313542601694
31,Burr_Inverse-Gamma_simple,6,0.8237939696020925,-3833.114202088717,7619.325882615474,7595.736130447549,1.667345598847223e-07,831.9934603514215
32,Burr_Inverse-Gamma_disjoint,7,0.8244886831940302,-3823.0526234049444,7575.337939763463,7593.389524206683,0.003905833527749104,816.7343808601439
33,Burr_Inverse-Weibull_continuous,6,0.9223609202313241,-3830.9949419186705,7562.683679687007,7470.703089792967,1.3880612331007454e-06,384.52636451216387
34,Burr_Inverse-Weibull_simple,6,0.8245271881123832,-3819.122505151293,7561.356000044584,7575.00200146389,0.1988576944348812,702.1223832553701
35,Burr_Inverse-Weibull_disjoint,7,0.8244400408640792,-3819.02410495621,7557.081258010699,7575.6072468983475,0.21942042990285612,720.085194974217
