,model,d,γ_map,log_marg,DIC,WAIC,posterior_probability,Wass_dist
0,Exp_Exp_continuous,3,11.89965575105468,-4986.6055103598865,9938.037849863982,9956.440611050939,0.0,1809.2548162880273
1,Exp_Exp_simple,3,0.8240712561429229,-4566.339863242666,9080.508139651898,9101.5324425497,0.0,3120.7383205325063
2,Exp_Exp_disjoint,4,0.8240475437687174,-4570.654753108758,9081.130122127985,9103.266005320944,0.0,3120.8582133889377
3,Exp_Gamma_continuous,4,1.4626289684782936,-4857.822179185486,9660.938704708095,9676.048826723545,0.0,2479.9860539352126
4,Exp_Gamma_simple,4,0.8244601413693219,-4088.5135912402793,8114.139209523684,8130.422830499047,5.620339084020649e-124,2423.9618016145437
5,Exp_Gamma_disjoint,5,0.8244553432972396,-4088.328746451709,8114.708400619688,8131.871134562683,6.761446090502657e-124,2423.448587161529
6,Exp_Weibull_continuous,4,1.69860471782698,-4680.774582963433,9309.53784087815,9311.897825758037,0.0,1515.4665116364495
7,Exp_Weibull_simple,4,0.8246685661803738,-3858.87783728958,7647.0695422690405,7654.348798017794,3.015111009628604e-24,1172.2493608909724
8,Exp_Weibull_disjoint,5,0.8246610928281545,-3858.479546882297,7650.501545696688,7658.095180035161,4.490333862517868e-24,1203.2241984756977
9,Exp_Inverse-Gaussian_continuous,4,0.31615029409279677,-4571.7700855599005,9088.72180879239,9109.682399408704,0.0,2751.7932966755848
10,Exp_Inverse-Gaussian_simple,4,0.8246257006709357,-3930.0828396180405,7858.4051117873805,7818.678758887334,3.5922264918290125e-55,1691.7245420989555
11,Exp_Inverse-Gaussian_disjoint,5,0.8246227885232871,-3931.939949236934,7811.667574240711,7819.626456834102,5.608300189348463e-56,1774.857567940665
12,Exp_Lognormal_continuous,4,0.3163278342774762,-4495.445506996886,8944.010410796958,8955.489726258522,1.0506957961083277e-300,2441.3821656471296
13,Exp_Lognormal_simple,4,0.8246561301797938,-3842.314066730258,7627.393911285456,7638.915274179853,4.7082277200768716e-17,1134.8186278184041
14,Exp_Lognormal_disjoint,5,0.8246407288407982,-3847.570709968012,7627.71232238562,7640.323857176398,2.4542924334225767e-19,1125.234689925828
15,Exp_Log-Logistic_continuous,4,0.31708936969259666,-4342.756759569193,8636.611261641128,8646.23941957974,2.1545543364824832e-234,2402.7065716812267
16,Exp_Log-Logistic_simple,4,0.8245752865636107,-3819.8115213906312,7579.223831918136,7591.80912775628,2.789900596391966e-07,746.0133541518696
17,Exp_Log-Logistic_disjoint,5,0.8245755645083149,-3821.739771161174,7579.768775088705,7593.433175463361,4.056584198657415e-08,748.0006420731806
18,Exp_Lomax_continuous,4,1.804973541746604,-4656.785020413273,9270.463397558713,9280.553300432424,0.0,858.6313802732808
19,Exp_Lomax_simple,4,0.8246338991700152,-3828.4269617479167,7601.105059512846,7613.394629662229,5.057670396600743e-11,799.7413788085755
20,Exp_Lomax_disjoint,5,0.8246510522043354,-3830.7251982988855,7601.634274385357,7614.746402467429,5.079711778073844e-12,797.826733973393
21,Exp_Burr_continuous,5,0.5987819505616829,-3855.216030964786,7625.197303073097,7641.122075084514,1.1738310336620488e-22,820.2322010194254
22,Exp_Burr_simple,5,0.8243674883726524,-3804.9202128215943,7547.58364832356,7557.2866021247155,0.8180914797016585,518.2706391138436
23,Exp_Burr_disjoint,6,0.824366119987159,-3806.424629335722,7549.706685338508,7559.174801934977,0.18173646616024977,547.861516815753
24,Exp_Pareto-Tail_continuous,3,1.8319038074378564,-4654.929776874406,9271.067844463672,9279.471438453982,0.0,863.9789873484099
25,Exp_Pareto-Tail_simple,3,0.824770136247682,-3883.3066334515643,7714.661833026209,7722.3287595137635,7.413306117933519e-35,3089.1192458407104
26,Exp_Pareto-Tail_disjoint,4,0.8247556996501895,-3882.87012358528,7715.274298984171,7723.96387550861,1.147059008598432e-34,3093.0287358169053
27,Exp_GPD-Tail_continuous,4,1.8226036861762998,-4657.679395662462,9268.865065442593,9281.477616076138,0.0,850.1711068438944
28,Exp_GPD-Tail_simple,4,0.8246312527123637,-3830.7936226874026,7600.910910116761,7613.601994524597,4.743760306767645e-12,798.8320942667382
29,Exp_GPD-Tail_disjoint,5,0.8246280967216247,-3831.3533750165293,7601.612305104427,7615.020570148176,2.710350075601357e-12,796.7945438573868
30,Exp_Inverse-Gamma_continuous,4,0.3283239321062925,-4120.502422964298,8194.950992740352,8205.18739047579,7.197628344909824e-138,1958.2737208387016
31,Exp_Inverse-Gamma_simple,4,0.8245865755119465,-3819.823414721015,7581.568519731427,7594.095099335747,2.7569159244709163e-07,803.9750234600458
32,Exp_Inverse-Gamma_disjoint,5,0.824571000023793,-3822.958567501122,7582.161803459307,7595.737884557835,1.1990684326272507e-08,801.9555457548506
33,Exp_Inverse-Weibull_continuous,4,0.47257603091132344,-3971.733284943037,7898.250850176495,7912.780477531023,2.92957848781697e-73,1790.0635062783956
34,Exp_Inverse-Weibull_simple,4,0.8245053981179473,-3813.681993819235,7563.689776048811,7576.372950259951,0.00012811758115908778,716.6470004951418
35,Exp_Inverse-Weibull_disjoint,5,0.8245142597576409,-3814.766114207475,7564.10935036951,7577.950355355504,4.332925564360541e-05,712.2483685984835
