,model,d,γ_map,log_marg,DIC,WAIC,posterior_probability,Wass_dist
0,Gamma_Exp_continuous,4,2.9125731644106474,-4170.012010512031,8275.790901389128,8303.109622393225,8.422274859814997e-160,1706.3098276419703
1,Gamma_Exp_simple,4,2.0757455905032263,-4326.314722087603,8632.793415143473,8640.336425958929,1.1066856195006908e-227,1868.6036981582279
2,Gamma_Exp_disjoint,5,2.87710080585567,-4178.720461795134,8271.948357785956,8302.446219973188,1.391224035914953e-163,1699.7228767653396
3,Gamma_Gamma_continuous,5,2.494639460122071,-4074.625967817513,8052.1318942868775,8072.775201308326,2.2441992002987137e-118,1421.4170360882817
4,Gamma_Gamma_simple,5,0.824430651798717,-4086.9191680406657,8115.242383252055,8128.076090330709,1.0284717841208129e-123,2430.11172795167
5,Gamma_Gamma_disjoint,6,2.4335930097668874,-4071.7250956853404,8043.567230897949,8069.964959243897,4.082198915391578e-117,1443.0025137811772
6,Gamma_Weibull_continuous,5,0.9317110921094707,-3871.3891476893477,7660.19114605109,7675.974503702613,4.127536329524168e-30,1087.0438330829522
7,Gamma_Weibull_simple,5,0.8246569509802548,-3854.271543899093,7648.705229303296,7652.585518610382,1.12142897756478e-22,1179.5386727805935
8,Gamma_Weibull_disjoint,6,0.8246485709170831,-3856.306344149222,7642.3809558294515,7653.84554365212,1.4657815592590472e-23,1183.8839386669918
9,Gamma_Inverse-Gaussian_continuous,5,0.9208142181868135,-3964.9588484287524,7913.141487585607,7880.161332556386,9.525465316519471e-71,1742.327073344973
10,Gamma_Inverse-Gaussian_simple,5,0.824614143090102,-3928.3077313421186,7818.647392171234,7814.993807353359,7.875245593303434e-55,1750.0667729638512
11,Gamma_Inverse-Gaussian_disjoint,6,0.8246229960789493,-3927.338891106673,7844.613664480716,7813.3406526744375,2.0750380961988605e-54,1689.3529140470077
12,Gamma_Lognormal_continuous,5,0.9309801005342558,-3865.99245064354,7649.023349931627,7669.274568139891,9.108495581715923e-28,1039.7892997119711
13,Gamma_Lognormal_simple,5,0.8246470789623352,-3843.4168516256486,7627.055139364525,7636.367553187406,5.806370322928095e-18,1127.5445468621047
14,Gamma_Lognormal_disjoint,6,0.8246261878629848,-3846.1924467670833,7621.160196839654,7637.400080229,3.6180875962889474e-19,1127.6444645057932
15,Gamma_Log-Logistic_continuous,5,0.9296712107875217,-3849.881807766341,7624.881725752176,7646.576755298978,9.04086435800439e-21,482.81795408175617
16,Gamma_Log-Logistic_simple,5,0.8245668546641481,-3817.016980568208,7579.250930227671,7589.479132331244,1.6952082385343314e-06,746.5362616906453
17,Gamma_Log-Logistic_disjoint,6,0.8245666833030926,-3818.274488975974,7572.885245055975,7590.4129274767865,4.820522251406822e-07,747.4586281572527
18,Gamma_Lomax_continuous,5,0.9320411593604336,-3852.0408958028634,7630.3201477983675,7652.044053661004,1.0435900585612563e-21,542.440858573522
19,Gamma_Lomax_simple,5,0.8246232000169886,-3828.3309525631003,7600.689900484118,7611.135389234816,2.0683662779438844e-11,801.6492338411014
20,Gamma_Lomax_disjoint,6,0.8246274839716043,-3830.2333321931073,7594.928723664461,7611.836188384135,3.0862739471296504e-12,801.9648010198811
21,Gamma_Burr_continuous,6,0.9228674060561001,-3848.528228902736,7851.284353306441,7643.659811317908,3.499949554066736e-20,1809.846500788004
22,Gamma_Burr_simple,6,0.8243475656497041,-3803.741247288889,7548.698050305771,7555.097997924333,0.9880996848108078,517.0094541107974
23,Gamma_Burr_disjoint,7,0.824313876536257,-3808.228208950126,7542.135348082516,7555.625924835288,0.011120852248957211,524.7441261007921
24,Gamma_Pareto-Tail_continuous,4,0.9564966922027401,-3870.7184764898993,7680.9922987835525,7697.930865275543,8.07160137407024e-30,1482.0996601872162
25,Gamma_Pareto-Tail_simple,4,0.8255894465605367,-3882.4667888515814,8100.006340543461,7732.531805578922,6.378704378940176e-35,3076.056854213144
26,Gamma_Pareto-Tail_disjoint,5,0.9278039472862866,-3870.2353416521146,7697.640112811925,7684.909157176002,1.3085264317672675e-29,1530.7178741361304
27,Gamma_GPD-Tail_continuous,5,0.931794624922664,-3851.396435742986,7629.8321347239025,7652.2222364731,1.9879954271627377e-21,544.6751322317988
28,Gamma_GPD-Tail_simple,5,0.8246152451555163,-3828.6176449783225,7601.5311658172295,7611.211256409629,1.5528106986147128e-11,796.5742096526308
29,Gamma_GPD-Tail_disjoint,6,0.8246269367603818,-3828.596357375376,7594.592662806891,7612.220096539751,1.58622066358425e-11,797.5618185491622
30,Gamma_Inverse-Gamma_continuous,5,0.9302038575100112,-3848.291409534687,7626.504165090195,7648.693229750834,4.4351787676102204e-20,515.0280109925387
31,Gamma_Inverse-Gamma_simple,5,0.8245690737895529,-3819.255394044092,7581.827980295438,7591.7959408062125,1.8075587988195627e-07,805.2251541415177
32,Gamma_Inverse-Gamma_disjoint,6,0.8245676300045632,-3824.068698680645,7575.189975589752,7592.862417259183,1.4679146004564624e-09,802.1367260390779
33,Gamma_Inverse-Weibull_continuous,5,0.9271863479110192,-3846.574753509424,7622.369204911044,7644.842188276684,2.468569555579999e-19,463.2637139920006
34,Gamma_Inverse-Weibull_simple,5,0.8244751140924742,-3811.164411459543,7563.729246115842,7574.05690068944,0.0005901487929491727,711.353857690915
35,Gamma_Inverse-Weibull_disjoint,6,0.8244760921718889,-3812.3139203073756,7557.27323864382,7575.210297974021,0.0001869546078673245,712.8399232048374
