,model,d,γ_map,log_marg,DIC,WAIC,posterior_probability,Wass_dist
0,Inverse-Gamma_Exp_continuous,4,7.336953889316926,-4039.7396652644784,8019.3619270248555,8043.3601181688855,1.192429885993295e-102,1093.1007191020215
1,Inverse-Gamma_Exp_simple,4,6.305875640979194,-4099.529640088169,8161.739660133433,8173.700076716606,1.288180477815855e-128,1398.9744927423828
2,Inverse-Gamma_Exp_disjoint,5,7.267247836523674,-4042.1166870703623,8016.280612098219,8045.4100424824655,1.1068923822736998e-103,1134.795853803024
3,Inverse-Gamma_Gamma_continuous,5,4.670375376662765,-4034.886444061208,7971.960115001999,7995.120797539373,1.5281290798553476e-100,962.4794630513836
4,Inverse-Gamma_Gamma_simple,5,6.1539245925073525,-4094.918396060774,8125.873081506768,8137.225040917787,1.2960284914095246e-126,1505.1817496186864
5,Inverse-Gamma_Gamma_disjoint,6,3.7048811973617717,-4028.032658405085,7945.4901866387445,7974.442987090716,1.4478425337824646e-97,1113.146071202303
6,Inverse-Gamma_Weibull_continuous,5,0.939965516510206,-3898.184637688497,7703.974851651424,7722.333170350005,3.5727301434396117e-41,1189.4059194134238
7,Inverse-Gamma_Weibull_simple,5,0.8246413477475913,-3864.572379111178,7650.008982026742,7656.3179103813745,1.414551092991358e-26,1214.1379432702684
8,Inverse-Gamma_Weibull_disjoint,6,0.8247074146509498,-3864.1954057957064,7639.361521491761,7652.2175743659245,2.0622251040596826e-26,1182.5168153706154
9,Inverse-Gamma_Inverse-Gaussian_continuous,5,0.928584659298167,-3975.4004735694593,7892.913043070765,7915.429659400889,1.0437314634171e-74,1885.705272112823
10,Inverse-Gamma_Inverse-Gaussian_simple,5,0.8245933240883171,-3935.6026634177133,7810.050467613298,7819.908136296128,2.00704965069914e-57,1799.4055757658316
11,Inverse-Gamma_Inverse-Gaussian_disjoint,6,0.8245966047979711,-3932.0848707611476,7812.977443697636,7815.668317121425,6.765751702405143e-56,1746.1882656272294
12,Inverse-Gamma_Lognormal_continuous,5,0.9414942689964093,-3880.3605169224243,7684.697345597002,7706.421966350052,1.96751253379133e-33,1031.5972517720138
13,Inverse-Gamma_Lognormal_simple,5,0.8246335199543744,-3842.5395735666043,7625.337818450401,7636.83385219087,5.2401595147682177e-17,1129.1903001660799
14,Inverse-Gamma_Lognormal_disjoint,6,0.8246069275319599,-3856.6397706140174,7620.707181030977,7637.353686497111,3.941910286777119e-23,1142.1599549153777
15,Inverse-Gamma_Log-Logistic_continuous,5,0.9387250810974945,-3862.9757325019173,7660.3425203072875,7682.286170837548,6.982861859392545e-26,482.446308694242
16,Inverse-Gamma_Log-Logistic_simple,5,0.8245633794120444,-3821.344877575959,7578.497802827839,7590.458614056123,8.396224103648409e-08,758.2051679831723
17,Inverse-Gamma_Log-Logistic_disjoint,6,0.8245322496818058,-3828.918489530035,7572.148323979665,7590.055032516771,4.3142582880219366e-11,738.3496055758579
