,model,d,γ_map,log_marg,DIC,WAIC,posterior_probability,Wass_dist
0,Inverse-Weibull_Exp_continuous,4,9.737110826974735,-3963.4507144623494,7879.663754149483,7904.020611075848,1.1943799270020885e-63,963.6324262266525
1,Inverse-Weibull_Exp_simple,4,211.39400681539513,-3979.0056644994015,7936.68379498148,7939.242970186223,2.097555827221321e-70,1666.1693357189158
2,Inverse-Weibull_Exp_disjoint,5,9.60306572135146,-3968.0899871864694,7877.167157681228,7907.059045247647,1.1543352337041741e-65,983.0373269930044
3,Inverse-Weibull_Gamma_continuous,5,7.630898879809049,-3966.3884892384767,7862.234002152629,7886.767076614344,6.328242623785366e-65,777.3178126328049
4,Inverse-Weibull_Gamma_simple,5,252.32198659537448,-3983.443045371936,7926.317722020674,7938.425912896761,2.480752864581498e-72,1664.1573032227477
5,Inverse-Weibull_Gamma_disjoint,6,8.052277576660057,-3970.67687353553,7862.577839404887,7889.708311642306,8.68683325197379e-67,805.4017168204176
6,Inverse-Weibull_Weibull_continuous,5,3.4985172165645984,-3936.589273346426,7822.826686250735,7846.939554451711,5.532458291864814e-52,706.0515704023223
7,Inverse-Weibull_Weibull_simple,5,2.078154764455411,-3958.0942813195115,7856.2841556179865,7882.754355194608,2.531697732042408e-61,1052.397185701147
8,Inverse-Weibull_Weibull_disjoint,6,0.8245560181739502,-3880.134725961413,7652.119565207856,7664.158748649853,1.823125460679212e-27,1303.851140955239
9,Inverse-Weibull_Inverse-Gaussian_continuous,5,6.261350444517784,-3945.3753330036816,7852.86370836632,7878.496251376353,8.456310512704002e-56,738.8304350234955
10,Inverse-Weibull_Inverse-Gaussian_simple,5,6.365920725779577,-3970.9599905774658,7901.400472754177,7915.572420582178,6.544934672545342e-67,1304.6404493431755
11,Inverse-Weibull_Inverse-Gaussian_disjoint,6,0.8592445098624563,-3944.059179773388,8258.931946158269,7802.321911516205,3.1533995912036556e-55,1958.3172179776443
12,Inverse-Weibull_Lognormal_continuous,5,0.9449573356390117,-3892.0535618314193,7700.580085620385,7723.170480874784,1.2148758728259418e-32,1063.5451348740291
13,Inverse-Weibull_Lognormal_simple,5,0.825561165127775,-3877.3316944383796,7895.3656115562935,7668.405246483791,3.0071679166490866e-26,1141.3559061478734
14,Inverse-Weibull_Lognormal_disjoint,6,0.8246149825407186,-3852.002983741161,7622.603209352419,7637.119525217112,3.007994021792913e-15,1122.3258653140451
15,Inverse-Weibull_Log-Logistic_continuous,5,0.9431677213284178,-3870.190479209538,7674.916721774793,7700.707183734469,3.797939543291701e-23,486.9130026252406
16,Inverse-Weibull_Log-Logistic_simple,5,0.824987237058385,-3856.431728772551,7584.972293868592,7617.472384124885,3.5883718403024085e-17,733.7837936176019
17,Inverse-Weibull_Log-Logistic_disjoint,6,0.8245507795967771,-3824.9594370810582,7574.832257113364,7590.099263292513,0.0016716296063584754,750.768702528721
18,Inverse-Weibull_Lomax_continuous,5,0.9502473001257695,-3869.975077612528,7683.375969352548,7702.916644849649,4.710811994890417e-23,525.9291256712273
19,Inverse-Weibull_Lomax_simple,5,0.8248021231537644,-3844.900206910922,7607.168015393651,7630.976703064608,3.655726966643142e-12,783.1406477586206
20,Inverse-Weibull_Lomax_disjoint,6,0.824591463132845,-3840.019677748594,7596.881165758831,7611.532835167379,4.814604709525681e-10,797.9037265517808
21,Inverse-Weibull_Burr_continuous,6,0.9404100278456486,-3907.7144269444207,7874.536505640839,7730.60996337489,1.9191309382625713e-39,1617.020213228549
22,Inverse-Weibull_Burr_simple,6,0.8248538900556825,-3863.074558922626,7583.639091209118,7616.383637143229,4.6768448356701454e-20,729.7092371375556
23,Inverse-Weibull_Burr_disjoint,7,0.8243942758857631,-3818.5992381382757,7545.364032418038,7560.808994411208,0.9668060490712567,540.2836587185856
24,Inverse-Weibull_Pareto-Tail_continuous,4,0.990565389353908,-3897.3216391687374,7723.599537428149,7741.841000635433,6.260874369231926e-35,1314.12716033224
25,Inverse-Weibull_Pareto-Tail_simple,4,0.8468691017084636,-3899.7542543779523,7978.080619007534,7755.525344262946,5.497479611387139e-36,2597.0950763858905
26,Inverse-Weibull_Pareto-Tail_disjoint,5,0.9848572787529549,-3884.9820614637574,7710.39795355984,7726.686763465572,1.4310193149038076e-29,1328.8079527106015
27,Inverse-Weibull_GPD-Tail_continuous,5,0.9493817988878007,-3872.9955360798263,7681.868559363464,7704.535938443067,2.2978799039237094e-24,530.7419081872135
28,Inverse-Weibull_GPD-Tail_simple,5,0.8252040302333234,-3847.547521501908,7873.124249664441,7635.53368569287,2.5897606852243095e-13,794.7667803309416
29,Inverse-Weibull_GPD-Tail_disjoint,6,0.8245401021564649,-3828.7645348064066,7597.026381423577,7612.354859605599,3.7205496898741026e-05,801.0307332625562
30,Inverse-Weibull_Inverse-Gamma_continuous,5,0.939704591961161,-3866.5291492992083,7671.906817133479,7695.395816478302,1.4778944687162406e-21,535.3312199967841
31,Inverse-Weibull_Inverse-Gamma_simple,5,0.8246371815470007,-3832.1886768293457,7587.139851931151,7602.726420793171,1.2120516394165765e-06,813.4648884273333
32,Inverse-Weibull_Inverse-Gamma_disjoint,6,0.8998422018521651,-3873.7587403972093,7867.136396227555,7821.33045507166,1.0712033037500356e-24,603.091898747986
33,Inverse-Weibull_Inverse-Weibull_continuous,5,0.9380254163867819,-3863.479379666075,7666.566771434302,7691.360358366257,3.119906266888071e-20,463.0507613178398
34,Inverse-Weibull_Inverse-Weibull_simple,5,0.8244341966872664,-3833.4058752982364,7573.9246965918155,7591.313818783002,3.5883809704751673e-07,721.1278122155519
35,Inverse-Weibull_Inverse-Weibull_disjoint,6,0.8244686418843268,-3822.0237710329493,7559.246884671865,7574.781342552302,0.03148354445037133,707.6880546665891
