,model,d,γ_map,log_marg,DIC,WAIC,posterior_probability,Wass_dist
0,Log-Logistic_Exp_continuous,4,3.5511244760007465,-4149.361024278792,8241.151843930887,8270.98004259787,1.4402094365590604e-148,1490.8024467972277
1,Log-Logistic_Exp_simple,4,6.290034335660754,-4273.079915695679,8508.50763401899,8524.562466019212,2.6791300935120255e-202,1908.6954308004301
2,Log-Logistic_Exp_disjoint,5,3.5179351267037915,-4152.24051271309,8239.056538702414,8272.370153962545,8.088718367937582e-150,1517.006389392989
3,Log-Logistic_Gamma_continuous,5,2.443661840465014,-4066.2929923161323,8055.557373677244,8084.570563576316,1.7155901975706069e-112,1436.595318065923
4,Log-Logistic_Gamma_simple,5,0.8244259445076823,-4092.999226701607,8111.948935305266,8128.914500543012,4.325569856336554e-124,2427.0753143641905
5,Log-Logistic_Gamma_disjoint,6,2.471872071911704,-4068.8934783201435,8053.277387322415,8086.773558903003,1.2736110966906428e-113,1442.1491399585984
6,Log-Logistic_Weibull_continuous,5,0.9313007081145408,-3883.9251742882616,7693.459279094197,7679.259473575368,2.7274110919232762e-33,1146.9322363208162
7,Log-Logistic_Weibull_simple,5,0.824655448348561,-3862.7826810644424,7646.454205189068,7655.074707867188,4.1478089383432955e-24,1202.934459604724
8,Log-Logistic_Weibull_disjoint,6,0.8246133166051859,-3865.888833862587,7645.451122197643,7659.117480878203,1.8570932992004548e-25,1249.2924631699257
9,Log-Logistic_Inverse-Gaussian_continuous,5,0.9203766291330175,-3964.830056384479,7863.228129510984,7883.372711014833,1.991621238675554e-68,1885.6183069087238
10,Log-Logistic_Inverse-Gaussian_simple,5,0.8245993921750785,-3933.6825866169634,7807.538121826483,7820.337356130428,6.704725380327534e-55,1812.5229518094352
11,Log-Logistic_Inverse-Gaussian_disjoint,6,0.824548670742429,-3946.7437118669714,7802.282571264918,7819.269440953187,1.425628506122323e-60,1804.70180939375
