,model,d,γ_map,log_marg,DIC,WAIC,posterior_probability,Wass_dist
0,Lognormal_Exp_continuous,4,3.4397842614020657,-4110.10818365649,8169.051348840367,8198.082174915653,1.5460228652976262e-129,1504.6565132658784
1,Lognormal_Exp_simple,4,2.2633429561675045,-4260.110509705242,8499.011596724446,8510.171942797675,1.1067089882117197e-194,1698.9939104813732
2,Lognormal_Exp_disjoint,5,3.443170146515117,-4114.236434947354,8167.051388801179,8201.215856926809,2.4908017214836626e-131,1520.2289114841628
3,Lognormal_Gamma_continuous,5,2.5007186478149617,-4024.7854196178296,7983.312281830357,8009.842770514345,1.7555836011524723e-92,1403.155386673618
4,Lognormal_Gamma_simple,5,0.8246252668966395,-4096.123402087718,8114.34178044476,8134.113788453172,1.8311730104711272e-123,2422.569127010333
5,Lognormal_Gamma_disjoint,6,2.5198924721256875,-4028.7417340277752,7980.384855382653,8012.485673989172,3.3590463656765366e-94,1408.0083298495329
6,Lognormal_Weibull_continuous,5,0.9319125089227175,-3878.2963862437673,7686.54066532147,7701.131990017994,7.308030802048022e-29,1177.0744421223894
7,Lognormal_Weibull_simple,5,0.8247463642609822,-3869.3593511577847,7647.927157283574,7662.453916377058,5.560391766344646e-25,1198.6900154933892
8,Lognormal_Weibull_disjoint,6,0.8246159225260151,-3866.6725517155105,7644.052023027356,7657.234790649421,8.165213845870241e-24,1235.0546534543596
9,Lognormal_Inverse-Gaussian_continuous,5,1.1110982869971124,-3966.0559419676674,9880.591173226998,7966.51825203687,5.6274232944415514e-67,2531.7909441808956
10,Lognormal_Inverse-Gaussian_simple,5,0.8245938592069378,-3936.3664335936533,7809.491766479719,7825.30257104304,4.408585229326085e-54,1808.401520058969
11,Lognormal_Inverse-Gaussian_disjoint,6,0.8245284936386564,-3933.3141583918296,7804.169395773036,7821.703546905489,9.330083245263392e-53,1819.036964054465
12,Lognormal_Lognormal_continuous,5,0.9320816500189516,-3865.4960535864902,7661.369947326671,7684.921270028014,2.6479770011197404e-23,1022.8934768009805
13,Lognormal_Lognormal_simple,5,0.8246435211147304,-3855.5902466210387,7629.076203366447,7645.941045185252,5.308251762630865e-19,1126.78783782258
14,Lognormal_Lognormal_disjoint,6,0.8246429049106532,-3844.7524281538645,7620.473606045558,7637.107114570533,2.702441296412198e-14,1123.8536389503895
15,Lognormal_Log-Logistic_continuous,5,0.9304958475007752,-3852.8567529625307,7638.269027850154,7663.165745706652,8.167567358920765e-18,484.3776970998474
16,Lognormal_Log-Logistic_simple,5,0.8245605235898427,-3824.8992375306357,7581.271599169197,7597.815509751475,1.1321068147180994e-05,749.4080584826071
17,Lognormal_Log-Logistic_disjoint,6,0.8245689664505049,-3820.333787949133,7572.377627435617,7590.323354887381,0.0010880202170797046,746.7506521264386
18,Lognormal_Lomax_continuous,5,0.9330250176486419,-3854.1125936853855,7645.148432279033,7669.379469170403,2.326419496329757e-18,550.4209851677598
19,Lognormal_Lomax_simple,5,0.8246011766721737,-3833.292321692152,7602.378326372596,7618.734954493986,2.5634052364345586e-09,798.0132722968707
20,Lognormal_Lomax_disjoint,6,0.8246259121491707,-3830.2711268789058,7594.430969908708,7611.783506482903,5.2590282447232635e-08,797.0974895145039
21,Lognormal_Burr_continuous,6,0.9238465517088674,-3849.9125758736172,7683.733574944546,7659.620524625843,1.5514314402142497e-16,1034.1692929835287
22,Lognormal_Burr_simple,6,0.8243297604294898,-3814.772557393629,7555.03366070658,7564.702851643771,0.2830405817123483,609.5879120701351
23,Lognormal_Burr_disjoint,7,0.8243264833536287,-3817.883054953741,7543.618668816742,7559.960293580848,0.012617600767483023,545.689973916614
24,Lognormal_Pareto-Tail_continuous,4,0.965229570314122,-3869.295013089749,7689.125923522375,7711.322113978029,5.92989576562434e-25,1424.3989597813083
25,Lognormal_Pareto-Tail_simple,4,0.922890241875434,-3880.289432600369,7743.418062310799,7732.794732164258,9.95935778140519e-30,1608.8775125628356
26,Lognormal_Pareto-Tail_disjoint,5,0.9481909611299955,-3874.027906015816,7717.178540578975,7708.786867497528,5.218885614596181e-27,1463.1816045875094
27,Lognormal_GPD-Tail_continuous,5,0.9330373890655032,-3853.428838033268,7644.865151919299,7668.897211806333,4.609346274146182e-18,549.2134058831978
28,Lognormal_GPD-Tail_simple,5,0.824605706625475,-3838.439660552734,7602.567911556447,7619.488634449112,1.490583822638022e-11,797.9739708347879
29,Lognormal_GPD-Tail_disjoint,6,0.8245007711192064,-3840.483045127591,7594.752167246051,7612.568290285894,1.9316380791779307e-12,801.4948173345621
30,Lognormal_Inverse-Gamma_continuous,5,0.9309206720994015,-3853.163357619521,7640.465308015678,7665.507384270668,6.010851714074185e-18,532.2392649479559
31,Lognormal_Inverse-Gamma_simple,5,0.8245418576804404,-3830.057566681792,7583.387727899931,7600.10685174082,6.511087301322933e-08,802.9581767266759
32,Lognormal_Inverse-Gamma_disjoint,6,0.824542474434213,-3825.205175658655,7575.1420057678015,7592.493532480856,8.337198924586088e-06,826.0726535393616
33,Lognormal_Inverse-Weibull_continuous,5,0.9280598918713706,-3847.9756382048845,7635.33836249338,7661.2349726685825,1.0763014605665306e-15,464.41559922194585
34,Lognormal_Inverse-Weibull_simple,5,0.8244715712994792,-3818.70998493178,7565.407757789147,7582.249319044231,0.0055188127050469415,712.7954451527146
35,Lognormal_Inverse-Weibull_disjoint,6,0.8244700292183763,-3813.8703366740224,7556.932902039884,7575.05221720853,0.6977152060495437,709.0351781070427
