,model,d,γ_map,log_marg,DIC,WAIC,posterior_probability,Wass_dist
0,Lomax_Exp_continuous,4,21.259164552091303,-5053.728188741982,10031.845644377288,10055.700187812488,0.0,1943.3765702848973
1,Lomax_Exp_simple,4,0.8240471071020132,-4565.928768979952,9080.468450646831,9103.6111166298,0.0,3120.431100327675
2,Lomax_Exp_disjoint,5,0.8240528640089576,-4567.187766750445,9080.485056982907,9105.206270486031,0.0,3120.830195267781
3,Lomax_Gamma_continuous,5,1.4785230739619082,-4892.263768350224,9696.87123602416,9715.494530911052,0.0,2481.2991608846814
4,Lomax_Gamma_simple,5,0.8244350299304543,-4090.766356072994,8114.181011661609,8131.900529364265,5.19943933785738e-124,2422.8041064260833
5,Lomax_Gamma_disjoint,6,0.8244501957842051,-4092.574026920006,8114.0487924726895,8133.50551612659,8.528939655632951e-125,2423.6043082864126
6,Lomax_Weibull_continuous,5,1.7282925108186014,-4717.29400361144,9338.137853553882,9349.211098291886,0.0,1482.9674240345228
7,Lomax_Weibull_simple,5,0.8246455649858088,-3860.3075668518177,7649.695369381589,7659.036608771783,6.352387470849019e-24,1218.7283612084013
8,Lomax_Weibull_disjoint,6,0.8246831364808511,-3860.111043480295,7817.279608399549,7658.123468948122,7.731895866742872e-24,1793.3100394041278
9,Lomax_Inverse-Gaussian_continuous,5,0.31613011963798965,-4569.254000174109,9089.374666562204,9112.813744867584,0.0,2756.2887648240076
10,Lomax_Inverse-Gaussian_simple,5,0.8246146225807739,-3930.017928831762,7814.6893997441475,7820.195443005316,3.373738685912109e-54,1762.352632036483
11,Lomax_Inverse-Gaussian_disjoint,6,0.8246152112740439,-3935.7527221758096,7812.3839439065,7821.2253311907625,1.0902405649955559e-56,1775.4823339855527
12,Lomax_Lognormal_continuous,5,0.3161666220150775,-4499.603051370215,8945.125853701702,8959.487921418626,1.44689077762673e-301,2445.2780741571046
13,Lomax_Lognormal_simple,5,0.8246347512104559,-3847.396205798828,7627.083393081487,7640.416864902761,2.5719933399519853e-18,1128.6858389154597
14,Lomax_Lognormal_disjoint,6,0.8246509635832865,-3847.0601684434014,7626.874987844606,7641.506017459565,3.599225100226e-18,1123.3114809559718
15,Lomax_Log-Logistic_continuous,5,0.3168600825147505,-4346.770587795083,8638.130442053143,8650.86547880756,3.4255580761478454e-235,2408.364428797375
16,Lomax_Log-Logistic_simple,5,0.8245809769158629,-3822.434761424678,7579.006897117071,7593.198680697109,1.7819166740162845e-07,752.3028051966351
17,Lomax_Log-Logistic_disjoint,6,0.8245524443130468,-3825.809384703037,7579.246721160088,7594.624435226501,6.099681006365283e-09,749.2116704502572
18,Lomax_Lomax_continuous,5,1.8287524029121784,-4695.635901839685,9310.621129897085,9324.083191285506,0.0,875.9476816988237
19,Lomax_Lomax_simple,5,0.8246324145046925,-3827.355439276065,7600.931373875826,7614.775285491443,1.2997629513757068e-09,797.9432232771626
20,Lomax_Lomax_disjoint,6,0.8246229341648613,-3831.5718241742225,7600.9778274553955,7616.35221750165,1.9173944182939273e-11,797.6440574482455
21,Lomax_Burr_continuous,6,0.5786987157127236,-3863.527103155062,7626.822457066943,7644.739400384414,2.5392772966158612e-25,761.6644671199889
22,Lomax_Burr_simple,6,0.8243433784581621,-3806.8999638049618,7547.1958642049085,7558.9977244243755,0.9944072349701406,513.5758286578473
23,Lomax_Burr_disjoint,7,0.824340378897122,-3812.8147597842258,7579.151699191459,7561.860883751988,0.0026841143878362675,886.1402214244417
24,Lomax_Pareto-Tail_continuous,4,1.8586680836397638,-4694.9785252143165,9310.687229442517,9322.843787960644,0.0,888.8537683155557
25,Lomax_Pareto-Tail_simple,4,0.8247534995908338,-3884.3601943122176,7714.5865288527275,7723.790099088397,2.275168672570524e-34,3095.7599825123807
26,Lomax_Pareto-Tail_disjoint,5,0.8247500937384699,-3884.494995647983,7714.617032665742,7725.197022019673,1.988246025140489e-34,3088.7763838641117
27,Lomax_GPD-Tail_continuous,5,1.847896562755335,-4695.525131599198,9308.226029497197,9324.84957742715,0.0,865.3601173188858
28,Lomax_GPD-Tail_simple,5,0.8246161952212173,-3829.2012832642363,7600.730314263941,7615.226505993203,2.0522217926779022e-10,797.833747887564
29,Lomax_GPD-Tail_disjoint,6,0.8246303522422351,-3834.2262857945307,7600.72249116925,7616.421431064042,1.348631889296218e-12,799.2954832442279
30,Lomax_Inverse-Gamma_continuous,5,0.3271943101032723,-4122.892607490416,8194.169460204339,8205.715309810348,5.803671210417554e-138,1960.8341961777728
31,Lomax_Inverse-Gamma_simple,5,0.8245727603186915,-3818.4783732303526,7581.565878064064,7595.39628433209,9.313758071202727e-06,810.7412081260625
32,Lomax_Inverse-Gamma_disjoint,6,0.8245586649041728,-3823.5617963176946,7581.4556941439705,7597.116892294983,5.7732764873834204e-08,804.102611213608
33,Lomax_Inverse-Weibull_continuous,5,0.46811016434887104,-3973.251493528326,7897.774706168885,7913.876461766454,5.649537040705718e-73,1788.508265639723
34,Lomax_Inverse-Weibull_simple,5,0.8245065023579852,-3813.077139905073,7563.578677480363,7577.733061412432,0.0020646706367970853,713.2774968962169
35,Lomax_Inverse-Weibull_disjoint,6,0.8244744138259271,-3813.9831257942897,7563.489234297838,7579.423314098581,0.0008344226975338951,717.5709129488731
