,model,d,γ_map,log_marg,DIC,WAIC,posterior_probability,Wass_dist
0,Weibull_Exp_continuous,4,2.4019009628856534,-4271.586978955309,8485.776469188855,8519.921092398037,8.033064627921961e-203,1896.016143178493
1,Weibull_Exp_simple,4,2.021551030263909,-4422.782248327773,8871.816720054387,8850.834827957466,1.744255425976268e-268,1977.6735020263075
2,Weibull_Exp_disjoint,5,2.37687111349167,-4274.579271121187,8482.280734179538,8520.537302752455,4.030373411387441e-204,1927.4942305547306
3,Weibull_Gamma_continuous,5,1.0627578553343964,-4127.482896086478,9394.042182930787,8179.534180772715,3.0795642591306885e-140,2945.6886755853984
4,Weibull_Gamma_simple,5,0.8244205867533159,-4090.2083114348834,8111.890587828811,8129.4876517352295,4.749366669207986e-124,2426.7842618487684
5,Weibull_Gamma_disjoint,6,0.8244349666074599,-4088.3893945564378,8108.156625595284,8129.142119678003,2.9280687084083805e-123,2422.662316102527
6,Weibull_Weibull_continuous,5,0.9150007962141253,-3853.741865151483,7588.973139195635,7587.465813087981,2.3588942742224376e-21,1232.0737517436103
7,Weibull_Weibull_simple,5,0.8246640266320042,-3856.3544739500867,7645.959434124296,7653.121411067925,1.7300828123296555e-22,1169.25053710199
8,Weibull_Weibull_disjoint,6,0.8246422500124929,-3860.4925974207235,7643.671656124665,7656.1220364663095,2.7599594597199376e-24,1217.9071545619213
9,Weibull_Inverse-Gaussian_continuous,5,0.9132097569636091,-3962.8577952789688,7934.323801101953,7846.150502047484,9.644109530247984e-69,1825.0205559108108
10,Weibull_Inverse-Gaussian_simple,5,0.8245918008609407,-3928.3203753375747,7808.968083624133,7817.084611321851,9.631036612368454e-54,1775.0513565032618
11,Weibull_Inverse-Gaussian_disjoint,6,0.8246121921435889,-3932.39816128225,7804.713323420881,7817.382020008655,1.6319734897805107e-55,1780.7218039742756
12,Weibull_Lognormal_continuous,5,0.9312640259102564,-3850.062912138655,7654.932005601978,7573.397553229506,9.342378724194319e-20,1079.2307014231096
13,Weibull_Lognormal_simple,5,0.8246358751255733,-3846.1601594052136,7624.806086689181,7637.91529261353,4.628086263614795e-18,1132.6936599321857
14,Weibull_Lognormal_disjoint,6,0.8246455746756235,-3844.920074691625,7621.073025410922,7637.383021461144,1.5994232080038974e-17,1126.248366676662
15,Weibull_Log-Logistic_continuous,5,0.9304652541418099,-3823.5477115468375,7743.429782013169,7550.089790995603,3.0609960731434385e-08,417.8386321086035
16,Weibull_Log-Logistic_simple,5,0.8245564757376141,-3820.199776659,7576.699074569104,7590.65095701401,8.706676733309827e-07,742.9709216680849
17,Weibull_Log-Logistic_disjoint,6,0.8245586502723665,-3820.6742182296475,7572.814314798456,7590.725374539682,5.417576641171215e-07,752.3986936721655
18,Weibull_Lomax_continuous,5,0.9321063534372203,-3851.2447100414233,7630.739553087951,7651.328673160018,2.8655577215751017e-20,551.4150145898911
19,Weibull_Lomax_simple,5,0.8246304651253986,-3830.3310778183986,7598.632369579527,7611.898236228248,3.4664443461907696e-11,799.8211972806507
20,Weibull_Lomax_disjoint,6,0.8246200391730184,-3829.8973549286316,7594.763405156088,7612.221610747564,5.348693226178503e-11,801.7951342746376
21,Weibull_Burr_continuous,6,0.9230850463295688,-3847.192397681287,7679.308021482125,7642.500072064803,1.648564934138826e-18,1107.7176206371544
22,Weibull_Burr_simple,6,0.8242733208069376,-3807.7696330413596,7549.212401635088,7556.208370667156,0.2178688807969809,534.8663075539056
23,Weibull_Burr_disjoint,7,0.8243378117104083,-3806.495617381175,7540.277546769015,7556.112475024302,0.7789205709126901,492.0452458324956
24,Weibull_Pareto-Tail_continuous,4,0.941659915758862,-3869.0483478147066,7891.182279492252,7589.6861762969575,5.311137172509491e-28,1112.677278256394
25,Weibull_Pareto-Tail_simple,4,0.928620131105401,-3870.739706980538,7714.932942428864,7684.333518470866,9.786774136518274e-29,1529.2510469916951
26,Weibull_Pareto-Tail_disjoint,5,0.923061427702099,-3855.076479381341,7619.321190731522,7575.0659672644115,6.21001831060332e-22,1635.8656352357652
27,Weibull_GPD-Tail_continuous,5,0.9352112977670396,-3832.5160181026217,7551.574117985141,7548.511706285231,3.8992108764373014e-12,426.7456805254185
28,Weibull_GPD-Tail_simple,5,0.8246093057960581,-3832.037898091374,7598.604909303421,7612.357739709262,6.289579425806449e-12,796.8248399850359
29,Weibull_GPD-Tail_disjoint,6,0.8246304895483747,-3831.4125537640293,7594.65177139778,7612.313243425775,1.1754528044902701e-11,798.0066680397396
30,Weibull_Inverse-Gamma_continuous,5,0.9343406420518219,-3842.882700407155,7563.160965413913,7564.141511976365,1.2268283485743741e-16,458.84164794062315
31,Weibull_Inverse-Gamma_simple,5,0.8245689910472165,-3822.148157355669,7579.272043491463,7592.599959432639,1.2407418604391484e-07,805.8048376427183
32,Weibull_Inverse-Gamma_disjoint,6,0.8245491352140473,-3820.5893887714533,7575.4598808909095,7592.927441087174,5.89720234408948e-07,802.5478427111466
33,Weibull_Inverse-Weibull_continuous,5,0.8968070616233424,-3829.3975035751887,7552.231574828633,7561.258834762201,8.81719354956915e-11,459.18298561009556
34,Weibull_Inverse-Weibull_simple,5,0.8244659774242513,-3812.618298344028,7561.196440081334,7575.209154919205,0.0017078377811261677,715.5661836965227
35,Weibull_Inverse-Weibull_disjoint,6,0.8244782006849583,-3812.747692431435,7557.429823304226,7575.228227464461,0.001500553481217555,716.2091025704025
