,sim,method,nobs,cap005,cap01,cap05,cap005_true,cap01_true,cap05_true
0,0,true,250,-1800.5841763964563,-931.3380741578401,-203.27308194271365,-151.23528817018322,-112.48527400129585,-47.509839309988706
0,0,best,250,-1820.1586450018647,-987.2640365937383,-215.1331423238789,-151.23528817018322,-112.48527400129585,-47.509839309988706
0,0,BMA,250,-2303.8676439866,-1209.7164081820863,-253.3203595508786,-151.23528817018322,-112.48527400129585,-47.509839309988706
1,1,true,250,-4801.085523565303,-2565.9163106772576,-595.6864184637047,-151.23528817018322,-112.48527400129585,-47.509839309988706
1,1,best,250,-4065.0783952232932,-2101.573661894683,-543.8728245369167,-151.23528817018322,-112.48527400129585,-47.509839309988706
1,1,BMA,250,-3385.8795753270174,-1844.8642488889247,-457.3333362909115,-151.23528817018322,-112.48527400129585,-47.509839309988706
2,2,true,250,-1123.526907761086,-649.0433793544908,-178.1670387043802,-151.23528817018322,-112.48527400129585,-47.509839309988706
2,2,best,250,-141.20950743799762,-105.61366250208187,-43.38342456564715,-151.23528817018322,-112.48527400129585,-47.509839309988706
2,2,BMA,250,-450.20781627609506,-258.2917548979421,-63.28605776641803,-151.23528817018322,-112.48527400129585,-47.509839309988706
3,3,true,250,-1879.1215916571207,-1052.0483117358838,-291.0124956012433,-151.23528817018322,-112.48527400129585,-47.509839309988706
3,3,best,250,-111.04006521718028,-86.2131404009246,-42.080307804684004,-151.23528817018322,-112.48527400129585,-47.509839309988706
3,3,BMA,250,-132.77252096214968,-100.18992004563992,-45.53508192998937,-151.23528817018322,-112.48527400129585,-47.509839309988706
4,4,true,250,-1895.889594424654,-1022.1308605768295,-244.3330193935623,-151.23528817018322,-112.48527400129585,-47.509839309988706
4,4,best,250,-2081.317291370571,-1141.3756361946753,-268.89318236530715,-151.23528817018322,-112.48527400129585,-47.509839309988706
4,4,BMA,250,-1990.9227475897553,-1101.0236177293016,-260.0676778450459,-151.23528817018322,-112.48527400129585,-47.509839309988706
5,5,true,250,-649.2977591077248,-408.80516117137,-134.06382713775176,-151.23528817018322,-112.48527400129585,-47.509839309988706
5,5,best,250,-135.90075422083706,-104.94308738745109,-53.043318001565055,-151.23528817018322,-112.48527400129585,-47.509839309988706
5,5,BMA,250,-197.93505667278384,-131.2978210882446,-55.4342476143113,-151.23528817018322,-112.48527400129585,-47.509839309988706
6,6,true,250,-2088.958653410146,-1207.4725863645656,-323.4141999224044,-151.23528817018322,-112.48527400129585,-47.509839309988706
6,6,best,250,-2189.847397576047,-1236.7255565141602,-332.966833319243,-151.23528817018322,-112.48527400129585,-47.509839309988706
6,6,BMA,250,-1078.4773947781307,-600.6435392744978,-159.3408415474516,-151.23528817018322,-112.48527400129585,-47.509839309988706
7,7,true,250,-806.8112898737265,-484.60852872511344,-138.28265377135438,-151.23528817018322,-112.48527400129585,-47.509839309988706
7,7,best,250,-40.24325902316171,-33.61230016293738,-16.583904351113866,-151.23528817018322,-112.48527400129585,-47.509839309988706
7,7,BMA,250,-80.14085600468101,-58.99707709479739,-25.952942207923343,-151.23528817018322,-112.48527400129585,-47.509839309988706
8,8,true,250,-735.9567946989332,-437.9996989550869,-123.33758956129984,-151.23528817018322,-112.48527400129585,-47.509839309988706
8,8,best,250,-108.27658978765854,-80.87391418712137,-31.768264931976695,-151.23528817018322,-112.48527400129585,-47.509839309988706
8,8,BMA,250,-83.90956290888855,-59.62963269708426,-21.296727431449312,-151.23528817018322,-112.48527400129585,-47.509839309988706
9,9,true,250,-554.5584218744406,-352.8011330623691,-112.6501169248833,-151.23528817018322,-112.48527400129585,-47.509839309988706
9,9,best,250,,,,-151.23528817018322,-112.48527400129585,-47.509839309988706
9,9,BMA,250,,,,-151.23528817018322,-112.48527400129585,-47.509839309988706
10,10,true,250,-3007.8618510089354,-1636.2440953107498,-425.77956112302473,-151.23528817018322,-112.48527400129585,-47.509839309988706
10,10,best,250,-2263.8986015907226,-1287.153235269106,-363.2635734598725,-151.23528817018322,-112.48527400129585,-47.509839309988706
10,10,BMA,250,-2270.4228295428297,-1254.098574535649,-349.8199088448462,-151.23528817018322,-112.48527400129585,-47.509839309988706
11,11,true,250,-10418.8359220173,-5205.357571881336,-1186.8660733176655,-151.23528817018322,-112.48527400129585,-47.509839309988706
11,11,best,250,-7902.36428602466,-4029.0365713476194,-977.7387611482056,-151.23528817018322,-112.48527400129585,-47.509839309988706
11,11,BMA,250,-8983.782939576644,-4613.7704297785585,-1068.5780644011097,-151.23528817018322,-112.48527400129585,-47.509839309988706
12,12,true,250,-5624.453323417364,-2805.206896435579,-537.1566929545761,-151.23528817018322,-112.48527400129585,-47.509839309988706
12,12,best,250,-135.06427834221472,-92.47593844415604,-20.377476820588026,-151.23528817018322,-112.48527400129585,-47.509839309988706
12,12,BMA,250,-2384.9411255298896,-1232.3896456685993,-242.50851518888823,-151.23528817018322,-112.48527400129585,-47.509839309988706
13,13,true,250,-1206.0018498721395,-686.5295171345127,-184.20257123244136,-151.23528817018322,-112.48527400129585,-47.509839309988706
