,sim,model_name,nobs,log_marg,γ_map,γ_true,cap005,cap01,cap05,cap005_true,cap01_true,cap05_true,posterior_probability
0,0,Weibull_Log-Logistic,5000,-7934.049042844468,4.21397839964266,2.5,,,,-73.04230502556369,-63.04151380382423,-36.968782103589604,1.0
1,0,Weibull_Lomax,5000,-8011.005081120077,6.308962118314718,2.5,,,,-73.04230502556369,-63.04151380382423,-36.968782103589604,3.7880633012845135e-34
2,0,Weibull_Inverse-Weibull,5000,-8032.609209357975,6.157414444113728,2.5,-77.5075722892757,-66.47331669352744,-38.679943296273464,-73.04230502556369,-63.04151380382423,-36.968782103589604,1.569869484852683e-43
3,0,Inverse-Weibull_Log-Logistic,5000,-8135.423905710308,1.5239045982208623,2.5,-83.29326441953269,-64.0881797569832,-27.484555061563523,-73.04230502556369,-63.04151380382423,-36.968782103589604,3.499518255150978e-88
4,0,Inverse-Weibull_Lomax,5000,-8075.33823017919,0.01253980755450718,2.5,-56.81659402267664,-47.68603652697468,-23.205245289356757,-73.04230502556369,-63.04151380382423,-36.968782103589604,4.353971560186484e-62
5,0,Inverse-Weibull_Inverse-Weibull,5000,-8137.938648512841,2.4382902761365965,2.5,-78.90263063766551,-60.883585598765094,-25.961168669058758,-73.04230502556369,-63.04151380382423,-36.968782103589604,2.830540288499993e-89
0,0,BMA,5000,,4.21397839964266,2.5,,,,-73.04230502556369,-63.04151380382423,-36.968782103589604,
0,1,Weibull_Log-Logistic,5000,-8008.295320740441,3.4031799081829495,2.5,,,,-73.04230502556369,-63.04151380382423,-36.968782103589604,2.284209381072576e-29
1,1,Weibull_Lomax,5000,-8081.1161863976085,3.9703946249112225,2.5,-82.67025020637377,-70.37068631485799,-42.22429274411348,-73.04230502556369,-63.04151380382423,-36.968782103589604,5.407988862057114e-61
2,1,Weibull_Inverse-Weibull,5000,-7942.346373004179,4.000870224802522,2.5,,,,-73.04230502556369,-63.04151380382423,-36.968782103589604,1.0
3,1,Inverse-Weibull_Log-Logistic,5000,-8177.005003370461,1.7644416903645135,2.5,-68.90092241126548,-52.3198409224207,-18.133894076157773,-73.04230502556369,-63.04151380382423,-36.968782103589604,1.2275853613839968e-102
4,1,Inverse-Weibull_Lomax,5000,-8122.929045061523,0.002627353448772376,2.5,-59.7375347210044,-50.526493845171665,-25.670744392844092,-73.04230502556369,-63.04151380382423,-36.968782103589604,3.7492292637308194e-79
5,1,Inverse-Weibull_Inverse-Weibull,5000,-8179.007525429619,2.780787574518707,2.5,-73.158183949354,-58.678148242104044,-27.375630805975334,-73.04230502556369,-63.04151380382423,-36.968782103589604,1.6571713666919066e-103
