,sim,model_name,nobs,log_marg,γ_map,γ_true,cap005,cap01,cap05,cap005_true,cap01_true,cap05_true,posterior_probability
0,0,Weibull_Log-Logistic,2000,-1700.0261494793654,2.0128520506561145,1.5,-603.6640028753088,-385.7772549048894,-134.13141599607863,-171.59349954805944,-127.25263247425696,-54.30793233997974,0.26654148221984264
1,0,Weibull_Lomax,2000,-1699.290389243723,1.6597386416341025,1.5,-342.01744952347974,-234.23454296268764,-90.68209155911363,-171.59349954805944,-127.25263247425696,-54.30793233997974,0.556290212356494
2,0,Weibull_Inverse-Weibull,2000,-1700.434579207592,2.4292497531910446,1.5,-712.6736941993829,-456.56511378399546,-155.17898709015273,-171.59349954805944,-127.25263247425696,-54.30793233997974,0.17716830542366332
3,0,Inverse-Weibull_Log-Logistic,2000,-1742.1424486846663,0.5936885049309198,1.5,-879.9467442508316,-573.2642040263034,-196.30121427089034,-171.59349954805944,-127.25263247425696,-54.30793233997974,1.3642327322807543e-19
4,0,Inverse-Weibull_Lomax,2000,-1736.412327474628,0.1591524370678419,1.5,-532.5771149608925,-370.25871512280423,-149.43210932154014,-171.59349954805944,-127.25263247425696,-54.30793233997974,4.201926849418735e-17
5,0,Inverse-Weibull_Inverse-Weibull,2000,-1744.8422402836845,1.658672873066398,1.5,-688.3874044000428,-434.44157123643726,-134.02871544275885,-171.59349954805944,-127.25263247425696,-54.30793233997974,9.170306928771083e-21
0,0,BMA,2000,,1.890190992705754,1.5,-477.4256484355179,-314.0168924996636,-113.68994458231435,-171.59349954805944,-127.25263247425696,-54.30793233997974,
0,1,Weibull_Log-Logistic,2000,-1651.823535552647,1.790092676122276,1.5,-510.25822333122676,-335.21213130800027,-121.10662955385746,-171.59349954805944,-127.25263247425696,-54.30793233997974,0.028015456498646896
1,1,Weibull_Lomax,2000,-1648.2875437859436,0.9000770035320216,1.5,-224.74696351009004,-158.11585838965664,-66.99284688162315,-171.59349954805944,-127.25263247425696,-54.30793233997974,0.9617438455401899
2,1,Weibull_Inverse-Weibull,2000,-1652.8299221507668,2.6762933992319886,1.5,-465.87310749774997,-314.8091183786353,-117.85429407758062,-171.59349954805944,-127.25263247425696,-54.30793233997974,0.01024069796116269
3,1,Inverse-Weibull_Log-Logistic,2000,-1702.4685967054295,0.06929406457117827,1.5,-5452.878078244476,-3155.5907431165583,-886.1987319575078,-171.59349954805944,-127.25263247425696,-54.30793233997974,2.834830581467702e-24
4,1,Inverse-Weibull_Lomax,2000,-1683.0826897372617,0.05791708056200004,1.5,-645.7743556005505,-429.80098093024355,-163.5521212842056,-171.59349954805944,-127.25263247425696,-54.30793233997974,7.442511804396857e-16
5,1,Inverse-Weibull_Inverse-Weibull,2000,-1736.7577190378988,0.4830643378727407,1.5,-2251.6038812426577,-1348.917074176199,-411.5161855258928,-171.59349954805944,-127.25263247425696,-54.30793233997974,3.638735525570005e-39
0,1,BMA,2000,,0.9432008945126158,1.5,-235.21499180060076,-164.6819396677703,-69.02972592465588,-171.59349954805944,-127.25263247425696,-54.30793233997974,
0,2,Weibull_Log-Logistic,2000,-1645.6090237656877,3.3695449188934274,1.5,-377.30128711326626,-254.0976502228174,-93.75182637472766,-171.59349954805944,-127.25263247425696,-54.30793233997974,0.2100185603274523
1,2,Weibull_Lomax,2000,-1644.5099588958713,2.3512607787133595,1.5,-241.11233328329288,-173.0010434701089,-73.05035940875466,-171.59349954805944,-127.25263247425696,-54.30793233997974,0.6303408968427366
2,2,Weibull_Inverse-Weibull,2000,-1645.8832949944995,3.890540498129541,1.5,-410.2586452869524,-280.5196280072542,-105.594507844446,-171.59349954805944,-127.25263247425696,-54.30793233997974,0.15964054282981105
3,2,Inverse-Weibull_Log-Logistic,2000,-1707.4282453553822,0.3265411579002619,1.5,-2015.3942935097734,-1202.4416575941361,-375.03447355982144,-171.59349954805944,-127.25263247425696,-54.30793233997974,2.9820221507889815e-28
